,0
Wind_speed_expanding_std,6173337.603372606
cos_2880.0_2,4875109.476804536
NetLoad,3815213.053764039
NetLoadewm_std_expanding.win,3916971.550591645
hour_cos,3673853.8981485018
Irradiance_lag_15min,3790448.539578428
NetLoad_lag_1440min,3379561.4628366134
T_out_weighted_96_mean,3800718.6146702743
T_out_Exp_weighted_96_SL.win,3731687.9303512475
NetLoad_lag_1425min,2960808.151341154
NetLoad_window_8_mean,3305214.7892171047
Wind_speed_window_8_mean,3028239.1001585685
sin_2880.0_2,3311884.8259501765
Irradiance,3126447.5403305274
NetLoad_lag_855min,2954218.166826088
Wind_speed_window_8_std,2790375.6876749992
T_out_lag_735min,2963593.0956452256
NetLoad_ewm_mean_expanding.win,2897137.023047986
NetLoad_lag_1395min,3123869.5176681364
T_out_window_16_std,2804187.2932876647
T_outewm_std_expanding.win,3086129.871375529
Wind_speed_lag_1275min,3133458.350735399
NetLoad_Exp_weighted_96_SL.win,2815470.035839089
NetLoad_lag_1260min,3289646.5610649865
T_out_lag_1290min,3112212.5324039096
NetLoad_lag_870min,3344170.835134891
NetLoad_lag_1320min,3289049.7712923437
Irradiance_lag_1440min,2987524.496141398
T_out_lag_165min,3209991.680074755
NetLoad_window_16_mean,3474806.5853959457
Wind_speed_lag_1395min,3080978.9716959307
NetLoad_window_16_std,2983430.7835763446
Irradiance_lag_135min,3299240.8166574524
NetLoad_window_4_mean,3509505.247091721
Irradiance_window_2_std,3487331.38512237
NetLoad_lag_1065min,3217580.0828930396
NetLoad_lag_720min,2957842.8326865127
T_out_lag_300min,3364329.5155915422
Irradiance_lag_360min,3169821.213656081
Wind_speed_lag_1185min,3028486.7434975337
Irradiance_lag_1365min,3094455.2659541303
Irradianceewm_std_expanding.win,2939943.3983791843
T_out_window_8_std,3269753.1590541806
Irradiance_lag_630min,3046638.5230853474
T_out_lag_285min,3261589.690355044
NetLoad_lag_765min,3133566.4771254268
Irradiance_Exp_weighted_96_SL.win,3003591.3648838894
T_out_lag_1350min,3129548.1051980713
T_out_lag_150min,3051395.7606863035
Irradiance_lag_585min,3140147.077315288
Wind_speed_lag_900min,2882573.2611011383
T_out_lag_420min,2972742.070167837
NetLoad_window_8_std,3251795.7957758596
Irradiance_lag_1410min,2976798.7467988096
NetLoad_lag_1215min,3032641.2191060362
Irradiance_lag_1425min,2871317.1944100554
Wind_speed_lag_735min,2981831.878647107
Wind_speed_lag_855min,3052373.1323595718
Wind_speed_lag_1365min,2937771.815680559
NetLoad_lag_735min,2938469.411753294
NetLoad_lag_825min,2923452.105560554
Irradiance_lag_660min,2952565.535293822
T_out_lag_660min,2772226.943838972
Irradiance_lag_165min,3190801.1736728526
T_out_lag_1275min,3025722.136378012
T_out_lag_315min,2965275.3232065313
Irradiance_lag_510min,3097083.4757158733
Irradiance_lag_885min,2948257.0640456867
T_out_lag_1230min,2908320.827518794
T_out_lag_1140min,2988863.1445564344
Wind_speed_lag_390min,3064257.696641811
NetLoad_lag_45min,3176038.4369970183
Wind_speed_lag_630min,3175538.6021911027
Irradiance_lag_240min,2991111.427805701
NetLoad_lag_975min,3222685.5416764123
Irradiance_lag_1350min,2646275.616068128
Wind_speed_lag_45min,2608787.5503814253
T_out_lag_1335min,2499676.7938648453
T_out_lag_1365min,3007325.616795526
Irradiance_lag_1395min,2602162.2711569266
Wind_speed_lag_1425min,2908308.6170208277
NetLoad_lag_1290min,2720589.3025224037
Wind_speed_lag_75min,2728090.206742838
Irradiance_lag_375min,2626115.8183308793
NetLoad_lag_225min,2734328.300153848
NetLoad_window_2_mean,2643850.6218341626
NetLoad_lag_15min,2511137.089290756
Wind_speed_lag_1335min,2529911.2771803117
NetLoad_lag_1305min,2684675.4145762743
Irradiance_lag_495min,2576089.1126332856
NetLoad_lag_810min,2569306.788642182
Wind_speed_window_4_mean,2595481.9204115244
T_out_lag_1245min,2814991.8270331477
Wind_speed_lag_495min,2915603.047634074
T_out_lag_1380min,2678646.489902207
NetLoad_lag_675min,2744017.5618690057
Irradiance_lag_555min,2654637.871797289
NetLoad_lag_885min,2655650.1935196533
Irradiance_window_8_std,2580656.9349433356
NetLoad_lag_495min,2671892.5611613537
Wind_speed_lag_1410min,2705893.870415818
NetLoad_lag_555min,2580120.648080241
NetLoad_window_4_std,2636615.803788516
NetLoad_lag_465min,2620196.897211346
T_out_lag_465min,2655485.826121221
Wind_speed_lag_825min,2644882.624815329
Irradiance_lag_1275min,2689143.9866382643
NetLoad_lag_990min,2880698.187310965
NetLoad_lag_75min,2849785.8098009718
hour,2942892.991487313
Irradiance_window_16_std,3085751.9320794917
NetLoad_lag_705min,2860322.2642285833
NetLoad_lag_1275min,3079771.491259103
Wind_speed_lag_1305min,2858696.0408328166
T_out_lag_345min,2765981.4190193377
T_out_lag_360min,2780716.764219104
Irradiance_lag_30min,2921077.668982618
Wind_speed_lag_1440min,3165899.836118746
NetLoad_lag_345min,3215685.2312256643
NetLoad_lag_60min,3016975.6032492677
NetLoad_lag_150min,2881912.546118498
Irradiance_lag_645min,2855725.9964292254
NetLoad_lag_1080min,2761237.860256668
NetLoad_lag_240min,2657602.4419869557
NetLoad_lag_660min,2834717.755349263
Irradiance_lag_1260min,2683100.455768945
WorkingHour_flag,2765358.2191834
Wind_speed_lag_435min,2783148.437800842
NetLoad_lag_1335min,2842834.8213206264
Wind_speed_lag_465min,2852802.2762740934
NetLoad_lag_1200min,2889889.496724341
NetLoad_lag_915min,2707281.237101157
NetLoad_lag_135min,2888337.867281449
Wind_speed_lag_1215min,2665150.0999593604
Wind_speed_lag_420min,2691742.1128309914
T_out_lag_405min,2715478.9761779574
Wind_speed_lag_510min,2925331.6864170674
T_out_window_4_std,2980090.22909379
