trial,mse,n_estimators,max_depth,learning_rate,reg_alpha,reg_lambda,features
0,2527941.513136587,873,5,0.20371166320748368,0.27828053521548324,0.7328685417201601,"['Wind_speed_expanding_std', 'cos_2880.0_2', 'NetLoad', 'NetLoadewm_std_expanding.win', 'T_out_window_16_std', 'NetLoad_lag_1440min', 'Wind_speed_window_8_mean', 'NetLoad_lag_1425min', 'sin_2880.0_2', 'NetLoad_lag_855min', 'Irradiance_window_2_std', 'Wind_speed_lag_1440min', 'Wind_speed_lag_1275min', 'Irradiance_lag_1440min', 'Irradiance_Exp_weighted_96_SL.win', 'Wind_speed_window_8_std', 'Irradiance_lag_1410min', 'T_out_lag_1380min', 'Wind_speed_lag_1245min', 'Wind_speed', 'T_outewm_std_expanding.win', 'NetLoad_window_16_mean', 'Wind_speed_lag_1185min']"
1,2607879.5676524052,315,6,0.23210417412913925,0.8053452673873939,0.34134567102256164,"['Wind_speed_expanding_std', 'cos_2880.0_2', 'NetLoad', 'NetLoadewm_std_expanding.win', 'NetLoad_lag_1440min', 'Wind_speed_lag_1185min', 'sin_2880.0_2', 'T_out_window_16_std', 'Wind_speed_window_8_mean', 'NetLoad_lag_1425min', 'Wind_speed_lag_1275min', 'T_out_Exp_weighted_96_SL.win', 'T_out_weighted_96_mean', 'Wind_speed_window_8_std', 'Wind_speed_lag_1395min', 'NetLoad_lag_1035min', 'NetLoad_lag_1410min', 'T_out_lag_1140min', 'Irradiance_window_2_std', 'NetLoad_lag_855min', 'NetLoad_window_8_std', 'Irradiance_lag_1260min', 'Wind_speed_lag_645min', 'Irradiance', 'T_out_lag_1365min', 'hour_cos', 'Irradiance_lag_195min', 'Wind_speed_lag_900min', 'NetLoad_lag_885min', 'NetLoad_window_16_mean', 'Wind_speed_lag_1320min', 'T_out_lag_1380min', 'T_out_lag_735min', 'NetLoad_lag_1110min', 'NetLoad_lag_1320min', 'Irradiance_Exp_weighted_96_SL.win', 'NetLoad_Exp_weighted_96_SL.win', 'Wind_speed_lag_105min', 'NetLoad_window_4_std', 'Wind_speed', 'NetLoad_lag_975min', 'Wind_speed_lag_435min', 'NetLoad_lag_15min', 'NetLoad_lag_345min', 'Wind_speed_lag_420min', 'Wind_speed_lag_840min', 'Irradiance_lag_1140min', 'Wind_speed_lag_1440min', 'T_out_window_8_std', 'NetLoad_window_8_mean', 'T_out_lag_150min', 'NetLoad_window_2_mean', 'Wind_speed_window_4_mean', 'NetLoad_lag_1065min', 'Irradiance_lag_555min']"
2,2597687.0032762466,751,5,0.1954232260100792,0.4421160711253881,0.5973509145648289,"['Wind_speed_expanding_std', 'cos_2880.0_2', 'NetLoad', 'T_out_window_16_std', 'NetLoadewm_std_expanding.win', 'NetLoad_lag_1440min', 'NetLoad_lag_1425min', 'T_out_Exp_weighted_96_SL.win', 'Irradiance_lag_1440min', 'NetLoad_lag_855min', 'sin_2880.0_2', 'Irradiance', 'Wind_speed_lag_735min', 'Wind_speed_lag_855min', 'NetLoad_ewm_mean_expanding.win', 'NetLoad_lag_960min', 'Wind_speed_lag_285min', 'Wind_speed_window_8_mean', 'NetLoad_Exp_weighted_96_SL.win', 'Wind_speed_lag_1395min', 'T_outewm_std_expanding.win', 'NetLoad_lag_1410min', 'Irradiance_Exp_weighted_96_SL.win', 'Wind_speed', 'Wind_speed_lag_1275min', 'NetLoad_window_2_std', 'T_out_lag_1380min', 'NetLoad_lag_1035min', 'T_out_lag_1230min', 'Irradiance_window_2_std', 'Wind_speed_lag_585min', 'Wind_speedewm_std_expanding.win', 'Irradiance_window_16_std', 'Wind_speed_lag_1290min', 'Irradiance_lag_780min', 'NetLoad_lag_1275min', 'Wind_speed_lag_1380min', 'NetLoad_lag_1395min', 'T_out_lag_1365min', 'NetLoad_lag_45min', 'NetLoad_lag_1005min', 'NetLoad_lag_495min', 'T_out_weighted_96_mean', 'NetLoad_lag_720min', 'NetLoad_window_8_std', 'Irradiance_lag_15min', 'Wind_speed_lag_780min', 'Wind_speed_lag_900min', 'Wind_speed_lag_420min', 'Wind_speed_lag_825min', 'NetLoad_lag_870min', 'NetLoad_lag_1305min', 'NetLoad_lag_420min', 'Wind_speed_window_8_std', 'NetLoad_lag_1380min', 'Irradiance_lag_240min', 'T_out_window_8_std', 'NetLoad_lag_330min', 'Wind_speed_lag_435min', 'Wind_speed_lag_1185min', 'NetLoad_window_16_std', 'Wind_speed_lag_525min', 'Irradiance_lag_510min', 'NetLoad_lag_375min', 'Wind_speed_lag_510min', 'NetLoad_window_16_mean']"
3,2601856.7245735135,803,8,0.23580238409059529,0.17748692645475794,0.3698143325860014,['cos_2880.0_2']
4,2347148.897597137,132,9,0.13194848729238348,0.928449295323244,0.15159067469147947,"['cos_2880.0_2', 'Wind_speed_expanding_std', 'NetLoad', 'NetLoadewm_std_expanding.win', 'T_out_weighted_96_mean', 'Wind_speed_window_8_mean', 'T_out_window_16_std', 'hour_cos', 'NetLoad_lag_1440min', 'NetLoad_lag_1425min', 'Irradiance', 'Irradiance_Exp_weighted_96_SL.win', 'NetLoad_window_8_mean', 'T_out_Exp_weighted_96_SL.win', 'Wind_speed_lag_1275min', 'NetLoad_window_8_std', 'NetLoad_window_2_mean', 'Wind_speed_lag_1185min', 'Irradiance_window_16_std', 'Wind_speed_lag_900min', 'T_out_lag_1290min', 'Wind_speed', 'Wind_speed_lag_1215min', 'NetLoad_window_4_std', 'Irradiance_lag_1215min', 'sin_2880.0_2']"
5,2463137.4091342227,816,7,0.2179334006609853,0.4235151062019461,0.7779926696023209,"['cos_2880.0_2', 'Wind_speed_expanding_std', 'NetLoad', 'NetLoadewm_std_expanding.win', 'NetLoad_lag_1440min', 'sin_2880.0_2', 'T_out_window_16_std', 'Wind_speed', 'Wind_speed_lag_1185min', 'NetLoad_lag_1425min', 'NetLoad_lag_1410min', 'Wind_speed_lag_1290min', 'Irradiance_window_2_std', 'Wind_speed_lag_420min', 'Irradiance_Exp_weighted_96_SL.win', 'Wind_speed_window_4_std', 'Wind_speed_lag_1395min', 'Wind_speed_lag_825min', 'Wind_speed_lag_900min', 'Wind_speed_lag_330min', 'Wind_speed_lag_1275min', 'Wind_speed_lag_720min', 'T_out_lag_1140min', 'Wind_speed_lag_1440min', 'T_out_weighted_96_mean', 'Irradiance_lag_1395min', 'NetLoad_lag_1380min', 'Wind_speed_lag_585min', 'NetLoad_lag_1275min', 'NetLoad_lag_1335min', 'NetLoad_lag_1320min', 'Wind_speed_lag_1335min', 'Irradiance_lag_1305min', 'Wind_speed_lag_510min', 'NetLoad_lag_1200min', 'Wind_speed_lag_480min', 'Wind_speed_lag_735min', 'Wind_speed_lag_1245min', 'NetLoad_lag_1095min', 'NetLoad_window_4_std']"
6,2483476.125191027,769,5,0.15387819523563367,0.7691141591961228,0.7654806457958568,"['Wind_speed_expanding_std', 'NetLoad', 'cos_2880.0_2', 'NetLoadewm_std_expanding.win', 'NetLoad_lag_1440min', 'Irradiance', 'T_out_window_16_std', 'NetLoad_lag_1425min', 'Wind_speed_window_8_mean', 'T_out_Exp_weighted_96_SL.win', 'T_out_lag_1335min', 'T_out_weighted_96_mean', 'NetLoad_lag_855min', 'sin_2880.0_2', 'NetLoad_window_16_std', 'Wind_speed_lag_1335min', 'Irradiance_Exp_weighted_96_SL.win', 'T_out_lag_1290min', 'Wind_speed_lag_1185min', 'NetLoad_lag_960min', 'T_out_lag_1140min', 'Wind_speed_lag_1395min', 'Irradiance_window_2_std', 'NetLoad_lag_1410min', 'Irradiance_lag_1155min', 'T_out_lag_1380min', 'Wind_speed_lag_705min', 'NetLoad_window_16_mean', 'Irradiance_lag_240min', 'NetLoad_lag_1380min', 'T_outewm_std_expanding.win', 'Irradiance_lag_1260min', 'NetLoad_window_8_std', 'NetLoad_lag_1320min', 'Irradiance_lag_1365min', 'NetLoad_lag_495min', 'NetLoad_lag_1005min', 'Irradiance_lag_1440min', 'Wind_speed_window_8_std', 'NetLoad_window_4_std', 'Wind_speed_lag_735min', 'Wind_speed_lag_495min', 'Wind_speed_lag_1230min', 'NetLoad_lag_1335min', 'Wind_speed_lag_450min', 'Wind_speed_lag_435min', 'Irradiance_lag_780min', 'NetLoad_lag_870min', 'NetLoad_lag_330min', 'hour_cos', 'Wind_speed_lag_1425min', 'Wind_speed_lag_1245min', 'NetLoad_lag_15min', 'Irradiance_lag_1410min', 'NetLoad_lag_1395min', 'T_out_window_4_std', 'Wind_speed_lag_885min', 'NetLoad_lag_1035min', 'NetLoad_Exp_weighted_96_SL.win', 'NetLoad_window_4_mean', 'Wind_speed_lag_1380min', 'Wind_speed_lag_285min', 'Wind_speed_lag_75min', 'Wind_speed_lag_855min', 'NetLoad_window_8_mean', 'T_out_lag_300min', 'T_out_lag_450min', 'T_out_lag_150min', 'NetLoad_lag_765min', 'NetLoad_lag_135min']"
7,2597363.662856546,748,10,0.1276793975622729,0.11847101295459894,0.9804494867143355,"['cos_2880.0_2', 'Wind_speed_expanding_std', 'NetLoad', 'NetLoadewm_std_expanding.win', 'NetLoad_lag_1440min', 'Wind_speed_window_8_std', 'T_out_window_16_std', 'Wind_speed_lag_1185min', 'Irradiance_Exp_weighted_96_SL.win', 'NetLoad_lag_1410min', 'Wind_speed_lag_1215min', 'Irradiance_lag_1350min', 'Wind_speed', 'Irradiance_lag_1245min', 'NetLoad_lag_1305min', 'Wind_speed_lag_840min', 'Irradiance_lag_1260min', 'NetLoad_lag_1425min', 'Wind_speed_lag_600min', 'NetLoad_window_8_std', 'sin_2880.0_2', 'Wind_speed_lag_1410min', 'NetLoad_lag_1395min', 'Wind_speed_lag_1275min', 'Wind_speed_lag_465min', 'Wind_speed_lag_390min']"
8,2478218.116816216,277,6,0.17566161510772754,0.4818636926792056,0.5588215840380121,"['cos_2880.0_2', 'Wind_speed_expanding_std', 'NetLoad', 'NetLoadewm_std_expanding.win', 'T_out_window_16_std', 'NetLoad_lag_1440min', 'T_out_weighted_96_mean', 'hour_cos', 'NetLoad_lag_1425min', 'Wind_speed_window_8_mean', 'Wind_speed_window_4_mean', 'NetLoad_Exp_weighted_96_SL.win', 'Wind_speed_lag_900min', 'Irradiance_window_2_std', 'sin_2880.0_2', 'NetLoad_lag_855min', 'Wind_speed_window_8_std', 'Wind_speedewm_std_expanding.win', 'Irradiance', 'Wind_speed_lag_1275min', 'NetLoad_lag_1320min', 'Wind_speed_lag_1395min', 'Irradiance_Exp_weighted_96_SL.win', 'NetLoad_lag_1410min', 'NetLoad_window_8_std', 'NetLoad_window_8_mean', 'NetLoad_lag_870min', 'Wind_speed_lag_285min', 'T_out_lag_1365min', 'NetLoad_lag_1290min', 'NetLoad_lag_975min', 'Wind_speed_lag_1185min', 'T_out_lag_735min', 'Irradiance_lag_1410min', 'Wind_speed_lag_1335min', 'Irradiance_lag_660min', 'T_out_Exp_weighted_96_SL.win', 'Irradiance_lag_15min', 'NetLoad_lag_180min', 'T_out_lag_660min', 'NetLoad_ewm_mean_expanding.win', 'NetLoad_lag_1110min', 'NetLoad_lag_1065min', 'Irradiance_lag_1440min', 'Irradiance_window_2_mean', 'NetLoad_window_16_mean', 'NetLoad_lag_1350min', 'NetLoad_lag_570min', 'Irradiance_lag_1260min', 'T_out_lag_1380min', 'T_out_lag_1320min', 'NetLoad_window_16_std', 'NetLoad_lag_15min', 'Wind_speed', 'Wind_speed_lag_1425min', 'T_out_lag_255min', 'T_out_window_8_std', 'T_out_lag_1140min', 'NetLoad_lag_990min', 'NetLoad_lag_1380min', 'Wind_speed_lag_885min', 'Wind_speed_lag_30min', 'Irradiance_window_16_std', 'Wind_speed_lag_105min', 'NetLoad_lag_765min', 'Wind_speed_lag_435min', 'Wind_speed_lag_495min', 'T_out_lag_1335min', 'Wind_speed_lag_720min', 'Wind_speed_lag_840min', 'Wind_speed_lag_750min', 'Irradiance_lag_30min', 'NetLoad_lag_450min', 'T_out_lag_150min', 'NetLoad_window_4_mean', 'NetLoad_lag_840min', 'Wind_speed_lag_315min', 'Irradiance_window_8_std', 'NetLoad_lag_825min', 'T_outewm_std_expanding.win', 'T_out_lag_420min', 'T_out_lag_465min', 'T_out_lag_1275min', 'NetLoad_lag_330min', 'NetLoad_lag_1080min', 'T_out_lag_1305min', 'NetLoad_lag_240min']"
9,2460728.867742781,575,9,0.22114287272466843,0.2916359989478641,0.08089460925846814,"['cos_2880.0_2', 'Wind_speed_expanding_std', 'NetLoadewm_std_expanding.win', 'NetLoad', 'Irradiance', 'T_out_window_16_std', 'sin_2880.0_2', 'Wind_speed_lag_855min', 'Irradiance_Exp_weighted_96_SL.win', 'T_outewm_std_expanding.win', 'Wind_speed_lag_900min', 'Irradiance_lag_570min', 'Wind_speed_lag_1440min', 'Wind_speed_lag_405min', 'Wind_speed_lag_1380min', 'Wind_speed_lag_555min', 'Wind_speed_lag_1230min', 'Wind_speed_lag_885min', 'Wind_speed_lag_285min', 'Wind_speed_lag_75min', 'Wind_speed_window_8_std', 'NetLoad_lag_1080min', 'Wind_speed_lag_825min', 'Wind_speed_lag_1215min', 'T_out_window_8_std', 'Wind_speed_lag_1200min', 'NetLoad_lag_1035min', 'Wind_speed_lag_420min', 'NetLoad_lag_465min', 'Wind_speed_lag_345min', 'NetLoad_lag_1440min', 'Wind_speed_lag_1185min', 'NetLoad_window_8_std', 'Wind_speed', 'Irradiance_window_2_std', 'NetLoad_lag_1110min', 'T_out_weighted_96_mean', 'Wind_speed_lag_1335min', 'Wind_speed_lag_870min', 'Wind_speed_lag_105min', 'Irradiance_lag_1410min', 'Irradiance_lag_1260min', 'Wind_speed_lag_765min', 'NetLoad_lag_870min', 'hour_cos', 'T_out_window_2_std', 'Irradiance_lag_585min', 'Irradiance_lag_1305min', 'NetLoad_lag_15min', 'Irradiance_lag_1245min', 'Wind_speed_lag_375min', 'Wind_speed_lag_495min', 'Wind_speed_lag_1395min', 'Irradiance_lag_1290min', 'NetLoad_lag_1425min', 'Wind_speed_lag_1275min', 'NetLoad_lag_360min', 'NetLoad_lag_60min', 'Wind_speed_window_4_std', 'NetLoad_lag_1410min', 'Irradiance_lag_645min', 'Irradiance_lag_780min', 'Irradiance_lag_795min', 'NetLoad_lag_1065min', 'NetLoad_lag_975min', 'Wind_speed_lag_630min', 'Irradiance_lag_1335min', 'Wind_speed_lag_690min', 'Wind_speed_lag_615min', 'Wind_speed_lag_540min', 'Irradiance_lag_525min', 'Wind_speed_window_8_mean', 'NetLoad_lag_765min', 'Wind_speedewm_std_expanding.win', 'T_out_Exp_weighted_96_SL.win', 'NetLoad_lag_1290min', 'Wind_speed_lag_435min', 'Wind_speed_lag_480min', 'Irradiance_lag_1275min', 'Irradiance_lag_1440min', 'NetLoad_lag_915min', 'NetLoad_lag_1380min', 'T_out_window_4_std', 'NetLoad_lag_585min', 'NetLoad_lag_900min', 'NetLoad_lag_540min', 'Wind_speed_lag_390min', 'Wind_speed_lag_1350min', 'Irradiance_window_8_std', 'Irradiance_lag_630min', 'NetLoad_lag_405min', 'NetLoad_window_8_mean', 'Irradiance_window_4_std', 'Irradiance_lag_1200min', 'Irradiance_lag_990min', 'NetLoad_lag_225min', 'Wind_speed_lag_450min', 'Wind_speed_lag_570min', 'NetLoad_lag_1320min', 'NetLoad_lag_495min', 'Irradiance_lag_615min', 'NetLoad_lag_720min', 'NetLoad_lag_855min', 'Wind_speed_lag_90min', 'T_out_lag_1140min', 'Wind_speed_lag_645min', 'Irradiance_lag_195min', 'NetLoad_lag_1200min', 'NetLoad_lag_1230min', 'Wind_speed_lag_525min', 'Irradianceewm_std_expanding.win', 'NetLoad_lag_1095min', 'Irradiance_lag_15min', 'NetLoad_Exp_weighted_96_SL.win', 'Wind_speed_lag_1305min', 'NetLoad_lag_1335min', 'NetLoad_lag_960min', 'Wind_speed_lag_1245min', 'Wind_speed_window_4_mean', 'Wind_speed_lag_30min', 'NetLoad_lag_330min', 'NetLoad_lag_105min', 'NetLoad_lag_45min', 'Irradiance_lag_1155min', 'T_out_lag_1365min', 'Wind_speed_lag_1260min', 'NetLoad_lag_1305min', 'Wind_speed_lag_510min', 'NetLoad_lag_1050min', 'NetLoad_lag_675min', 'NetLoad_window_2_mean', 'NetLoad_window_2_std', 'Irradiance_lag_1170min', 'Wind_speed_lag_1365min', 'Irradiance_lag_945min', 'Wind_speed_lag_675min', 'NetLoad_lag_705min', 'Wind_speed_lag_840min', 'NetLoad_lag_810min', 'Irradiance_lag_1350min', 'NetLoad_lag_240min', 'Wind_speed_lag_1290min', 'NetLoad_lag_990min', 'Irradiance_lag_1125min', 'Irradiance_lag_330min', 'T_out_lag_1380min', 'Irradiance_lag_495min', 'Irradiance_lag_1425min', 'NetLoad_lag_450min', 'T_out_lag_315min', 'NetLoad_window_4_std', 'T_out_lag_1155min', 'T_out_lag_1290min', 'Irradiance_lag_240min', 'NetLoad_lag_1245min', 'NetLoad_lag_1215min', 'Wind_speed_window_2_mean', 'Irradiance_lag_420min', 'NetLoad_lag_1365min']"
